                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4545,                 2.7793,                 1.2354,                0.84043,                0.59794,                0.59532,                0.40724,                  1.024,                0.98633,                0.99181,             0.00036228,             0.00036228,             0.00036228
                      2,                0.82378,                0.83397,                0.88549,                  0.891,                0.68966,                0.69569,                0.47108,                0.82333,                0.80861,                0.92633,              0.0007036,              0.0007036,              0.0007036
                      3,                0.77082,                0.69692,                0.87227,                0.86556,                0.69242,                0.70322,                 0.5066,                0.74861,                0.74083,                0.90129,              0.0010156,              0.0010156,              0.0010156
                      4,                0.74111,                0.63534,                0.86606,                 0.8636,                0.66922,                0.70908,                0.44841,                0.86742,                0.70962,                0.91694,             0.00097901,             0.00097901,             0.00097901
                      5,                0.70619,                0.61201,                0.86606,                0.70803,                0.82688,                0.76158,                0.49452,                 0.7041,                0.67874,                0.89253,             0.00097901,             0.00097901,             0.00097901
                      6,                0.66809,                0.55981,                0.85372,                0.70046,                0.80867,                0.77649,                 0.5269,                0.74325,                0.62505,                0.90726,             0.00093502,             0.00093502,             0.00093502
                      7,                0.65811,                0.54247,                0.84383,                0.74777,                0.80571,                0.81304,                0.58865,                0.65239,                0.54931,                0.89657,             0.00089102,             0.00089102,             0.00089102
                      8,                0.63204,                0.51465,                 0.8429,                0.77489,                0.85738,                0.82977,                0.61446,                0.63845,                0.53056,                0.88868,             0.00084703,             0.00084703,             0.00084703
                      9,                0.59642,                0.47832,                0.83649,                0.83392,                0.73971,                0.84912,                0.60642,                0.59184,                0.53713,                0.87326,             0.00080303,             0.00080303,             0.00080303
                     10,                0.60664,                0.49636,                0.83676,                0.89684,                0.70809,                 0.8326,                0.57445,                0.72713,                 0.5305,                0.89068,             0.00075904,             0.00075904,             0.00075904
                     11,                0.57401,                0.46751,                0.82735,                0.72309,                 0.8324,                 0.8208,                0.57696,                0.61692,                0.55271,                0.86914,             0.00071504,             0.00071504,             0.00071504
                     12,                0.55597,                 0.4583,                0.83029,                0.66182,                0.82975,                0.80036,                0.58764,                0.72329,                0.53582,                0.87512,             0.00067104,             0.00067104,             0.00067104
                     13,                0.56475,                0.43895,                0.82878,                0.75745,                0.85033,                0.81714,                0.57191,                0.61932,                0.50354,                0.88186,             0.00062705,             0.00062705,             0.00062705
                     14,                0.55319,                0.44537,                0.83156,                0.85337,                0.72249,                0.78081,                0.59351,                0.60113,                0.49996,                0.87871,             0.00058305,             0.00058305,             0.00058305
                     15,                0.52943,                0.43107,                0.82307,                0.89097,                0.70623,                0.75482,                0.55931,                0.63304,                0.50141,                0.87694,             0.00053906,             0.00053906,             0.00053906
                     16,                0.55867,                0.43312,                0.81317,                0.89999,                 0.7098,                0.75605,                0.58499,                0.52251,                0.44873,                0.87178,             0.00049506,             0.00049506,             0.00049506
                     17,                0.52308,                0.41026,                0.81205,                0.91192,                0.70115,                0.80314,                0.59363,                0.52185,                0.46326,                0.86965,             0.00045107,             0.00045107,             0.00045107
                     18,                0.51085,                0.40175,                0.81204,                0.90975,                0.69964,                0.80691,                0.62776,                0.51006,                 0.4616,                0.86767,             0.00040707,             0.00040707,             0.00040707
                     19,                0.50826,                0.40389,                0.81037,                0.72309,                0.79749,                0.78955,                 0.6184,                0.51798,                0.43802,                0.87265,             0.00036307,             0.00036307,             0.00036307
                     20,                 0.5018,                0.39404,                0.80907,                 0.7534,                0.76676,                0.78702,                 0.6138,                0.52433,                0.44475,                0.86757,             0.00031908,             0.00031908,             0.00031908
                     21,                0.49617,                0.38836,                0.80454,                0.73483,                0.81086,                0.82185,                0.63193,                0.49279,                0.43585,                0.86118,             0.00027508,             0.00027508,             0.00027508
                     22,                0.46931,                0.36539,                0.80151,                0.75911,                0.86668,                0.79666,                0.62227,                 0.4999,                0.43105,                0.86394,             0.00023109,             0.00023109,             0.00023109
                     23,                0.46384,                0.35766,                 0.7995,                0.76978,                0.88484,                0.82354,                0.63929,                  0.478,                0.41224,                0.86406,             0.00018709,             0.00018709,             0.00018709
                     24,                0.45351,                0.34814,                0.80683,                 0.7749,                0.87109,                0.83191,                0.63305,                0.46688,                0.39878,                0.86295,              0.0001431,              0.0001431,              0.0001431
                     25,                0.44201,                 0.3321,                0.79907,                0.78851,                0.86729,                0.85082,                0.64678,                0.45444,                0.40575,                0.85906,             9.9101e-05,             9.9101e-05,             9.9101e-05
